Mkt_Title,Level,Start_Date,Length,Hours_Per_Week,Mode_Of_Attendance,Location,Home_Fee,Mkt_Level,Is_the_course_for_me,What_is_learnt,What_is_involved,Options_on_completion,What_do_I_need_to_get_on_the_course,How_long_is_the_course,How_much_will_the_course_cost,Code,Occurrence,Mnemonic,Subject_Area
Diploma in Construction ,2,04-Jun-07,6 weeks,16,Full Time Short,Stratford Campus,198,Level 2,"This course is suitable for those people wishing to study an intermediate construction course, as a full time student, and then wish to progress to a higher level.","A range of subjects including construction elements such as: 
Foundations, Walls, Floors/Roofs
Health and Safety, Construction drawing
Maths/Science and  Construction materials",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Level 2 Diploma you must complete 16 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the",You will need to have achieved NewCAD Level 1 or equivalent. A willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This may include an assessment of your communication and numeracy skills.,"The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1201008,06/07F,1S-NC-CONST-2-6F-S,Construction
AS Level English Language & Literature ,3,11-Sep-06,34 weeks,5.5,Part Time Day,Stratford Campus,267,Level 3,"If you want to go to University, A Levels are the standard entry requirement. They consist of Advanced Supplementary (AS) and A2 qualifications. AS subjects are studied and examined in the first year followed by A2 subjects, which are studied in greater d",This course is divided equally between Language and Literature although the two subjects are closely linked. You will develop skills in writing for various purposes and study language change through paired books or poetry etc.,"There are 4 classes per week for 5.5 hours in total plus attendance at Key Skills, Tutorial and SIS sessions. 100% attendance and punctuality for all classes is expected.
Plus use of your own time for homework, course work, note-making, reading, research","A wide variety of careers, including Journalism, Media, Teaching, Publishing, the Civil Service, Law and any branch of Business and Management.",You must have five GCSEs grade A*-C (or equivalent) to study three AS Levels. These should usually include English Language and Mathematics. You will be invited to the College for an interview. This may include an assessment of your communication and nume,"The course starts on Monday 11 September 2006, and takes 34 weeks to complete studying part time day for 5.5 hours per week. You will study at the Stratford Campus.",The course fee is £267. If you are not eligible for the home student fee you will be charged the overseas fee of £1335. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C3300048,06/07A,1D-AS-ENGL-3,"English, Languages and Communication"
Diploma in Construction ,1,11-Sep-06,6 weeks,16,Full Time Short,Stratford Campus,0,Level 1,"If you would like to gain an understanding of the building and construction industry and are a school leaver or unemployed, and wish to progress to a higher level, then this course is for you.","Core IT subjects, Communications and Application of number, plus construction subjects such as:
Use of land to build, Recycling of materials, Preparing sketches & drawings, Craft/technician jobs involved in the construction industry, Tools and equipment ",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the NewCAD ","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This will include an assessment of your communication and numeracy skills.","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100236,06/07A,1S-NC-FCON-1-1A-S,Construction
Diploma in Construction ,1,19-Feb-07,6 weeks,16,Full Time Short,Stratford Campus,0,Level 1,"If you would like to gain an understanding of the building and construction industry and are a school leaver or unemployed, and wish to progress to a higher level, then this course is for you.","Core IT subjects, Communications and Application of number, plus construction subjects such as:
Use of land to build, Recycling of materials, Preparing sketches & drawings, Craft/technician jobs involved in the construction industry, Tools and equipment ",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the NewCAD ","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This will include an assessment of your communication and numeracy skills.","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100590,06/07D,1S-NC-FCON-1-4D-S,Construction
Diploma in Multiskills ,Entry,18-Apr-07,6 weeks,16,Full Time Short,Stratford Campus,0,Entry Level,"If you would like an understanding of the building and construction industry and are a school leaver or unemployed and you want to study a full-time construction course, but you have not gained the required entry qualifications or experience to start on t","You will study core subjects in IT, communications and application of number plus a range of construction subjects such as:
Plumbing  
Electrical Installation 
Brickwork 
Carpentry
","The course normally starts in September, and is run on a six term basis.
You will study at the Stratford Campus.
You will study a mixture of theory and practical relating to the construction industry.","The award will be a Newham College Access Diploma, which is awarded by the Open College Network (OCN).  To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate.  With the full N","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to the College for an interview.  This will include an assessment of your communication and numeracy skills. ","The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E00803,06/07E,1S-NC-MSKILLS-C-5E-S,Construction
National Certificate in Civil Engineering ,3,11-Sep-06,2 years,7.5,Part Time Day,Stratford Campus,379,Level 3,If you are employed or seeking employment in the Construction or associated industries in Civil Engineering then this is the course for you.,"Health, Safety and Welfare, Construction and the Environment, Construction Technology and Design
Construction Science and Materials, Analytical Methods, Graphical Detailing, Surveying Processes
Setting Out Processes, Structural Mechanics, Civil Engineer","The course is assessed through in-course assignments, external assessments, and end of year exams. You will have access to the College¿s computing resources, including the latest multimedia facilities in the FLEXes.","On completion you can progress onto a Higher National Certificate in Civil Engineering or a Degree course, depending upon the grades achieved. You could also gain employment.","You will need either a BTEC First Award Certificate in Construction, 4 GCSEs (or equivalent) at Grades A-C in Mathematics, Physics or Chemistry and English Language, a City & Guilds Advanced Craft Certificate or other relevant qualification. Mature studen","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 7.5 hours per week. You will study at the Stratford Campus.",The course fee is £379 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £1895 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C7301887,06/07A,2D-NCT-CIVEN-3-S-Y2,Construction
Diploma in Multiskills ,Entry,03-Jan-07,6 weeks,16,Full Time Short,Stratford Campus,0,Entry Level,"If you would like an understanding of the building and construction industry and are a school leaver or unemployed and you want to study a full-time construction course, but you have not gained the required entry qualifications or experience to start on t","You will study core subjects in IT, communications and application of number plus a range of construction subjects such as:
Plumbing  
Electrical Installation 
Brickwork 
Carpentry
","The course normally starts in September, and is run on a six term basis.
You will study at the Stratford Campus.
You will study a mixture of theory and practical relating to the construction industry.","The award will be a Newham College Access Diploma, which is awarded by the Open College Network (OCN).  To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate.  With the full N","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to the College for an interview.  This will include an assessment of your communication and numeracy skills. ","The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E00802,06/07C,1S-NC-MSKILLS-C-3C-S,Construction
AS Level Urdu ,3,11-Sep-06,34 weeks,3,Part Time Day,Stratford Campus,267,Level 3,"If you want to go to University, A Levels are the standard entry requirement. They consist of Advanced Supplementary (AS) and A2 qualifications. AS subjects are studied and examined in the first year followed by A2 subjects, which are studied in greater d","The study of Urdu at AS level uses a range of approaches to enable you to acquire competence in the spoken and written forms of the language. The skills of listening, reading, speaking and writing are developed through a variety of practical tasks.","There are normally 2 classes per week for 3 hours in total plus attendance at Key Skills, Tutorial and SIS sessions. 100% attendance and punctuality for all classes is expected.
Plus use of your own time for homework, course work, note-making, reading, r",Language study at degree level or employment where this language will be used.,You must have five GCSEs grade A*- C (or equivalent) to study three AS Levels. These should usually include English Language and maths. You should have some knowledge of Urdu. You have to pass the AS Level before you can take an A2 Level. You will be invi,"The course starts on Monday 11 September 2006, and takes 34 weeks to complete studying part time day for 3 hours per week. You will study at the Stratford Campus.",The course fee is £267. If you are not eligible for the home student fee you will be charged the overseas fee of £1335. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C3301660,06/07A,1D-AS-URDU-3,"English, Languages and Communication"
C&G 6129 Certificate in Domestic Plumbing Studies ,3,31-Aug-06,36 weeks,7,Part Time Day,Stratford Campus,4000,Level 3,"If you have satisfactorily completed an NVQ level 2 Systems course, and need to gain further qualification to enable you to advance your career, then this is the course for you.","Training for gas safety, The components of M.E.S plumbing systems (how to install and test them), Design systems for the needs of the customer, Maintaining the effective operation of systems.
This course concentrates on the practical aspects of the progr","The programme will run in the workplace for up to two years, you may during this period be required to attend College for portfolio sessions. Programme of workplace assessment, guidance and portfolio development. There is a requirement to plan assessment ",This is a nationally recognised qualification that could lead to promotion or employment at a supervisory level. ,"You must be currently employed in the industry, and you must have successfully completed an NVQ level 2 in the appropriate discipline, or have relevant industrial experience. This course is only open for those learners studying the appropriate Technical C","The course starts on Thursday 31 August 2006, and takes 36 weeks to complete studying part time day for 7 hours per week. You will study at the Stratford Campus.",The course fee is £4000. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. ,C8303096,06/07A,1D-CG-DPLUMS-3-S,Construction
CG 2330 Certificate in Electrotechnical for JTL,2,11-Sep-06,2 years,9,Part Time Day,Stratford Campus,2409,Level 2,"If you want the skills and knowledge to perform electrical installation at qualified electrician standard, then this course is essential.","Communication skills
How to work confidently and effectively on your own and with others
The full range of electrical installation practical skills
Electrical theory and knowledge
Electrical science and principles",You will study a mixture of theory and practical relating to electrical installation.,"This is a nationally recognised qualification, essential for work in the electrical industry. Progression onto City & Guilds 2330 level 3 for successful learners. ",You will need to have a successful interview with JLT who will offer you a place on this course. ,"The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 9 hours per week. You will study at the Stratford Campus.",The course fee is £2409 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £2409 per year. ,C8202663,06/07A,2D-CG-2330ET-2-S-Y1,Construction
C&G 6128-01 Domestic Installation,2,11-Sep-06,2 years,7,Part Time Day,Stratford Campus,418,Level 2,"If you would like to gain the basic skills and knowledge to perform a wide range of installation work related to Domestic Services Systems, then this is the course for you. The course is aimed at people who may or may not be working within the industry. T","Identify, plan and prepare the installation
Install systems components and pipework
Test, pre-commission and de-commission systems 
Health and Safety
Environmental awareness",You will study a mixture of theory and practical relating to domestic installation.,This is a nationally recognised qualification vital for work in the Domestic installation industry. You will also be able to progress onto City and Guilds 6128 level 3. ,"You need GCSE's at D grade in Maths, Science and English to get on this course. Mature students may be accepted on successful completion of a college assessment test.","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 7 hours per week. You will study at the Stratford Campus.",The course fee is £418 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £2092 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C8201796,06/07A,2D-CG-CHTVDI-2-S-Y1,Construction
Diploma in Construction ,2,03-Jan-07,6 weeks,16,Full Time Short,Stratford Campus,198,Level 2,"This course is suitable for those people wishing to study an intermediate construction course, as a full time student, and then wish to progress to a higher level.","A range of subjects including construction elements such as: 
Foundations, Walls, Floors/Roofs
Health and Safety, Construction drawing
Maths/Science and  Construction materials",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Level 2 Diploma you must complete 16 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the",You will need to have achieved NewCAD Level 1 or equivalent. A willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This may include an assessment of your communication and numeracy skills.,"The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1201007,06/07C,1S-NC-CONST-2-3C-S,Construction
Diploma in Construction,2,18-Apr-07,6 weeks,16,Full Time Short,Stratford Campus,198,Level 2,"This course is suitable for those people wishing to study an intermediate construction course, as a full time student, and then wish to progress to a higher level.","A range of subjects including construction elements such as: 
Foundations, Walls, Floors/Roofs
Health and Safety, Construction drawing
Maths/Science and  Construction materials",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Level 2 Diploma you must complete 16 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the",You will need to have achieved NewCAD Level 1 or equivalent. A willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This may include an assessment of your communication and numeracy skills.,"The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1200789,06/07E,1S-NC-CONST-2-5E-S,Construction
Diploma in Construction ,2,19-Feb-07,6 weeks,16,Full Time Short,Stratford Campus,198,Level 2,"This course is suitable for those people wishing to study an intermediate construction course, as a full time student, and then wish to progress to a higher level.","A range of subjects including construction elements such as: 
Foundations, Walls, Floors/Roofs
Health and Safety, Construction drawing
Maths/Science and  Construction materials",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Level 2 Diploma you must complete 16 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the",You will need to have achieved NewCAD Level 1 or equivalent. A willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This may include an assessment of your communication and numeracy skills.,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1200214,06/07D,1S-NC-CONST-2-4D-S,Construction
JTL Technical Certificate in Plumbing,2,11-Sep-06,36 weeks,8.5,Part Time Day,Stratford Campus,4000,Level 2,The course is aimed at people that are working or not working within the plumbing industry within the scope of JTL management.,"This course concentrates on the practical aspects of the programme as it runs in parallel to the Technical Certificate You will learn through work based training and supporting guidance You will also have access to the computing resources in the College, ","The programme will run in the workplace for up to two years, you may during this period be required to attend College for portfolio sessions. Programme of workplace assessment, guidance and portfolio development.",This is a nationally recognised qualification vital for work in the installation industry. You will also be able to advance to the Level 3 course.,You must be currently employed in the industry. This course is only open for those learners studying the appropriate Technical Certificate and are within the JTL management scheme.,"The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time day for 8.5 hours per week. You will study at the Stratford Campus.",The course fee is £4000. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. ,C8201370,06/07A,1D-CG-TCPLUMY2-2-S,Construction
Diploma in Construction ,2,30-Oct-06,6 weeks,16,Full Time Short,Stratford Campus,198,Level 2,"This course is suitable for those people wishing to study an intermediate construction course, as a full time student, and then wish to progress to a higher level.","A range of subjects including construction elements such as: 
Foundations, Walls, Floors/Roofs
Health and Safety, Construction drawing
Maths/Science and  Construction materials",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Level 2 Diploma you must complete 16 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the",You will need to have achieved NewCAD Level 1 or equivalent. A willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This may include an assessment of your communication and numeracy skills.,"The course starts on Monday 30 October 2006, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1200569,06/07B,1S-NC-CONST-2-2B-S,Construction
GCE AS Level Spanish ,3,11-Sep-06,34 weeks,2.5,Distance,Stratford Campus,267,Level 3,For this programme of supported self study you will need to attend two one-hour sessions every week with a small group of other students. The first session each week will be a video conference from a specially selected and well qualified distance e-learni,"If you want to go to University, A Levels are the standard entry requirement. They consist of Advanced Supplementary (AS) and A2 qualifications. AS subjects are studied and examined in the first year followed by A2 subjects, which are studied in greater d",A level Spanish builds on language skills learned on a GCSE course. It develops your ability to read and write the language and to speak and understand it in conversation. The modules are also designed to give you an introduction to Spanish society and cu,AS Spanish can support applications for a wide variety of degree courses particularly in Humanities and the Arts. It can also lead to employment in the commercial field such as an opportunity to take these skills to other countries and communicate effecti,You must have five GCSEs grade A-C (or equivalent) to study three AS Levels. These should usually include English Language and Mathematics. Ideally you should also have GCSE Spanish. You will be invited to the College for an interview. This may include an,"For information about start dates for this course contact the College. Typically, this course takes 34 weeks to complete studying via distance learning.",The course fee is £267. If you are not eligible for the home student fee you will be charged the overseas fee of £1335. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C3302913,06/07A,1O-AS-SPANISH-3-S,"English, Languages and Communication"
CG 2330 Certificate in Electrotechnical Technology,2,11-Sep-06,2 years,10.5,Part Time Day,Stratford Campus,562,Level 2,"If you want the skills and knowledge to perform electrical installation at qualified electrician standard, then this course is essential.","Communication skills
How to work confidently and effectively on your own and with others
The full range of electrical installation practical skills
Electrical theory and knowledge
Electrical science and principles
",You will study a mixture of theory and practical relating to electrical installation.,"This is a nationally recognised qualification, essential for work in the electrical industry. You will also be able to progress onto the City & Guilds 2330 level 3 course.","You will require GCSE's in Maths, Science and English to gain a place on this course.
Mature students will be required to take an assessment test.

","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 10.5 hours per week. You will study at the Stratford Campus.",The course fee is £562 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £2810 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C8203106,06/07A,2D-CG-2330ETLSC-2-S-Y1,Construction
CG 2330 Certificate in Electrotechnical Technology,2,11-Sep-06,2 years,7,Part Time Day,Stratford Campus,307,Level 2,"If you want the skills and knowledge to perform electrical installation at qualified electrician standard, then this course is essential.","Communication skills
How to work confidently and effectively on your own and with others
The full range of electrical installation practical skills
Electrical theory and knowledge
Electrical science and principles",You will study a mixture of theory and practical relating to electrical installation.,"This is a nationally recognised qualification, essential for work in the electrical industry. You will also be able to progress onto the City & Guilds 2330 level 3 course.","You will require GCSE's in Maths, Science and English to gain a place on this course.
Mature students will be required to take an assessment test.
","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 7 hours per week. You will study at the Stratford Campus.",The course fee is £307 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £1535 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C8203107,06/07A,2D-CG-2330ETLSC-2-S-Y2,Construction
Diploma in Construction ,1,18-Apr-07,6 weeks,16,Full Time Short,Stratford Campus,0,Level 1,"If you would like to gain an understanding of the building and construction industry and are a school leaver or unemployed, and wish to progress to a higher level, then this course is for you.","Core IT subjects, Communications and Application of number, plus construction subjects such as:
Use of land to build, Recycling of materials, Preparing sketches & drawings, Craft/technician jobs involved in the construction industry, Tools and equipment ",You will study a mixture of theory and practical relating to the construction industry.,"NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate, and 3 units the NewCAD ","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to a College interview. This will include an assessment of your communication and numeracy skills.","The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100591,06/07E,1S-NC-FCON-1-5E-S,Construction
Diploma in Multiskills ,Entry,04-Jun-07,6 weeks,16,Full Time Short,Stratford Campus,0,Entry Level,"If you would like an understanding of the building and construction industry and are a school leaver or unemployed and you want to study a full-time construction course, but you have not gained the required entry qualifications or experience to start on t","You will study core subjects in IT, communications and application of number plus a range of construction subjects such as:
Plumbing  
Electrical Installation 
Brickwork 
Carpentry
","The course normally starts in September, and is run on a six term basis.
You will study at the Stratford Campus.
You will study a mixture of theory and practical relating to the construction industry.","The award will be a Newham College Access Diploma, which is awarded by the Open College Network (OCN).  To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate.  With the full N","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to the College for an interview.  This will include an assessment of your communication and numeracy skills. ","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E00593,06/07F,1S-NC-MSKILLS-C-6F-S,Construction
Introduction to British Sign Language,1,08-Jan-07,12 weeks,2.5,Part Time Day,Forest Gate Learning Zone,75,Level 1,"If you are interested in learning how to communicate using British Sign Language and do not want to commit yourself to a year long course, then this is the course for you.",You will learn how to finger spell and how to have simple conversations using sign and facial expressions. You will also learn how to give and recieve information using sign.,"You will be working towards an Open College Network qualification, which will involve you undertaking assessments that will be built into the course.",If you complete this course during the September - December term you will be able to join the CACDP (the Council for Advancement of Communication with Deaf People) qualification course in January. Otherwise you will have to wait until September to progres,You need an understanding of English at Entry Level 3 or above.,"The course starts on Monday 8 January 2007, and takes 12 weeks to complete studying part time day for 2.5 hours per week on various days. You will study at the Forest Gate Learning Zone.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cour,C1101786,06/07C,1D-NC-SIGN-1-1C-FG,"English, Languages and Communication"
Diploma in Multiskills ,Entry,19-Feb-07,6 weeks,16,Full Time Short,Stratford Campus,0,Entry Level,"If you would like an understanding of the building and construction industry and are a school leaver or unemployed and you want to study a full-time construction course, but you have not gained the required entry qualifications or experience to start on t","You will study core subjects in IT, communications and application of number plus a range of construction subjects such as:
Plumbing  
Electrical Installation 
Brickwork 
Carpentry
","The course normally starts in September, and is run on a six term basis.
You will study at the Stratford Campus.
You will study a mixture of theory and practical relating to the construction industry.","The award will be a Newham College Access Diploma, which is awarded by the Open College Network (OCN).  To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate.  With the full N","No formal qualifications are required, however a willingness to learn and attend on a regular basis is essential. You will be invited to the College for an interview.  This will include an assessment of your communication and numeracy skills. ","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E01237,06/07D,1S-NC-MSKILLS-C-4D-S,Construction
GCE A2 Level Spanish,3,11-Sep-06,32 weeks,2.5,Distance,Stratford Campus,267,Level 3,For this programme of supported self study you will need to attend two one-hour sessions every week with a small group of other students. The first session each week will be a video conference from a specially selected and well qualified distance e-learni,"If you want to go to University, A Levels are the standard entry requirement. They consist of Advanced Supplementary (AS) and A2 qualifications. AS subjects are studied and examined in the first year followed by A2 subjects, which are studied in greater d",A level Spanish builds on language skills learned on a GCSE course. It develops your ability to read and write the language and to speak and understand it in conversation. The modules are also designed to give you an introduction to Spanish society and cu,A2 Spanish can support applications for a wide variety of degree courses particularly in Humanities and the Arts. It can also lead to employment in the commercial field such as an opportunity to take these skills to other countries and communicate effecti,You must have five GCSEs grade A-C (or equivalent) to study three AS Levels. These should usually include English Language and Mathematics. Ideally you should also have GCSE Spanish. You will be invited to the College for an interview. This may include an,"For information about start dates for this course contact the College. Typically, this course takes 32 weeks to complete studying via distance learning.",The course fee is £267. If you are not eligible for the home student fee you will be charged the overseas fee of £1335. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C4303635,06/07A,1O-A2-SPANISH-3-S,"English, Languages and Communication"
PGCE Support English - Exam Only ,2,04-Jun-07,1 week,3,Distance,Stratford Campus,0,Level 2,This is an examination only code and is offered to applicants to the PGCE programme at University of East London only. Candidates are referred by UEL on application if they do not have Grade C at GCSE English.,A GCSE-style English Language examination at Newham College. You will be given advice on syllabus content and other information when you are referred.,,Your results will be sent to UEL and they will decide whether to accept you on their PGCE programme.,You need to apply to UEL for a PGCE programme. They will refer you to a named person at NCFE if they require this.,"For information about start dates for this course contact the College. Typically, this course takes 1 week to complete studying via distance learning.",There is no fee for this course. ,C8202184,06/07F,1D-NONE-PGCENGX-2,"English, Languages and Communication"
PGCE Support English - Exam Only ,2,03-Jan-07,1 week,3,Distance,Stratford Campus,0,Level 2,This is an examination only code and is offered to applicants to the PGCE programme at University of East London only. Candidates are referred by UEL on application if they do not have Grade C at GCSE English.,A GCSE-style English Language examination at Newham College. You will be given advice on syllabus content and other information when you are referred.,,Your results will be sent to UEL and they will decide whether to accept you on their PGCE programme.,You need to apply to UEL for a PGCE programme. They will refer you to a named person at NCFE if they require this.,"For information about start dates for this course contact the College. Typically, this course takes 1 week to complete studying via distance learning.",There is no fee for this course. ,C8202184,06/07C,1D-NONE-PGCENGX-2,"English, Languages and Communication"
GCE AS Level French ,3,11-Sep-06,34 weeks,2.5,Distance,Stratford Campus,267,Level 3,For this programme of supported self study you will need to attend two one-hour sessions every week with a small group of other students. The first session each week will be a video conference from a specially selected and well qualified distance e-learni,"If you want to go to University, A Levels are the standard entry requirement. They consist of Advanced Supplementary (AS) and A2 qualifications. AS subjects are studied and examined in the first year followed by A2 subjects, which are studied in greater d",A level French builds on language skills learned on a GCSE course. It develops your ability to read and write the language and to speak and understand it in conversation. The modules are also designed to give you an introduction to French society and cult,AS French can support applications for a wide variety of degree courses particularly in Humanities and the Arts. It can also lead to employment in the commercial field such as an opportunity to take these skills to other countries and communicate effectiv,"You must have five GCSEs grade A-C (or equivalent) to study three AS Levels. These should usually include English Language and Mathematics. Ideally you should also have GCSE French.
You will be invited to the College for an interview. This may include an","For information about start dates for this course contact the College. Typically, this course takes 34 weeks to complete studying via distance learning.",The course fee is £267. If you are not eligible for the home student fee you will be charged the overseas fee of £1335. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C3302911,06/07A,1O-AS-FRENCH-3-S,"English, Languages and Communication"
